m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum,
1009,1000,H_MUL,137,0,1484,517,0,0,762,804,4331,
1009,10000,H_MUL,137,0,35964,49596,1,1,29816,49581,4331,
1009,100000,H_MUL,137,57,395964,4956775,105,209,2528634,4954155,4331,
10007,1000,H_MUL,137,0,124,32,0,0,515,517,42987,
10007,10000,H_MUL,137,0,14716,5004,0,0,7539,7879,42987,
10007,100000,H_MUL,137,9,359972,499934,15,21,300065,499211,42987,
100003,1000,H_MUL,137,0,0,0,0,0,500,500,429617,
100003,10000,H_MUL,137,0,1980,510,0,0,5255,5260,429617,
100003,100000,H_MUL,137,6,147432,50007,11,9,75132,79048,429617,
1009,1000,H_FOLD,137,0,1464,506,0,0,748,789,5274,
1009,10000,H_FOLD,137,0,35964,49371,0,1,29839,49505,5274,
1009,100000,H_FOLD,137,43,395964,4953954,95,194,2527109,4957140,5274,
10007,1000,H_FOLD,137,0,884,277,0,0,644,664,17382,
10007,10000,H_FOLD,137,0,31320,28123,0,0,19114,28970,17382,
10007,100000,H_FOLD,137,23,388992,2753244,47,101,1426147,2757834,17382,
100003,1000,H_FOLD,137,0,884,277,0,0,644,664,17382,
100003,10000,H_FOLD,137,0,31320,28123,0,1,19114,28970,17382,
100003,100000,H_FOLD,137,23,388992,2753244,49,90,1426147,2757834,17382,
1009,1000,H_DIV,137,0,1400,465,0,0,733,774,3761,
1009,10000,H_DIV,137,0,35964,49648,0,1,29981,49585,3761,
1009,100000,H_DIV,137,43,395964,4959481,90,189,2529371,4953851,3761,
10007,1000,H_DIV,137,0,216,54,0,0,529,527,57911,
10007,10000,H_DIV,137,0,14980,5166,0,0,7633,7951,57911,
10007,100000,H_DIV,137,8,359972,499700,16,21,300027,499682,57911,
100003,1000,H_DIV,137,0,16,4,0,0,501,502,474413,
100003,10000,H_DIV,137,0,1988,509,0,0,5263,5265,474413,
100003,100000,H_DIV,137,4,147440,50115,8,8,75204,79292,474413,
1009,1000,H_MUL,271828,0,1416,463,0,0,732,778,4555,
1009,10000,H_MUL,271828,0,35964,49408,0,0,29548,49575,4555,
1009,100000,H_MUL,271828,40,395964,4953313,85,183,2525138,4955309,4555,
10007,1000,H_MUL,271828,0,180,48,0,0,523,523,45234,
10007,10000,H_MUL,271828,0,14640,4927,0,0,7440,7886,45234,
10007,100000,H_MUL,271828,9,359976,499056,16,27,299643,499604,45234,
